x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
719.0014,741.4208,408.43274,766.40125,1039.36745955,237.958267764,804.043850535,1073.30380778,447.415650488,438.150297061,0.20000002,0.20000002,137.200045767,311.571685903,312.635941525,0.996595862854,0.460999727249,55.1470398681,175.401340124,137.200045767,-71450.9808635,-48300.560543,-13632.738413,-13572.0193757,45.8323281621,49.8012188203,52.9793144571
147.79474,846.3388,428.405,776.39343,1354.0610069,104.919588518,656.920061911,2965.13634166,2965.13634166,2111.11813114,0.18039216,0.18039216,27.5495466416,289.196253091,292.071214044,0.990156643945,0.210000038147,2039.14173608,-13.9964194745,-27.5495466416,-215023.936083,-39900.0186694,-5944.17550529,-5944.17550529,1891.41076279,2004.19671814,2035.19375936
690.0416,725.4332,492.31622,751.41296,500.306535406,78.7404654279,384.175116609,748.351201443,796.736947232,796.736947232,0.1764706,0.1764706,149.130658077,199.424857593,202.562530433,0.984510102469,0.407999753952,133.352016575,172.514606995,149.130658077,-43074.3911359,-22462.1148905,-4587.15151722,-4736.39371976,117.07827432,123.913296441,125.389354316
242.66298,852.3341,505.1861,807.1601,1163.26936658,124.304952134,650.157289008,2332.19233782,2780.67462073,2780.67462073,0.1764706,0.1764706,34.6625255285,266.381453578,272.836117349,0.976342341209,0.224999904633,1945.54691547,-9.76362574982,-34.6625255285,-134223.720918,-44621.2858323,-7688.58142702,-4659.73144396,1878.57052251,1919.38815824,1941.1244144
641.10956,721.4364,425.74997,780.84393,1531.51099242,256.18883891,636.501501284,2082.81061005,2082.81061005,4420.53179134,0.18039216,0.18039216,107.274682282,223.403239962,233.594948838,0.956370165852,0.143000125885,280.760142246,164.578336132,107.274682282,-125754.867529,-39580.0927833,-15452.8870997,-15452.8870997,248.772077151,251.448698579,254.364207373
252.64911,843.3411,400.44385,789.3833,1590.16138259,674.655587774,1343.98091074,2110.80609911,1489.89317315,2110.80609911,0.17254902,0.17254902,25.1318972039,157.336357377,158.602225253,0.992018599522,0.130000114441,3149.33754558,-20.0564334475,-25.1318972039,-120375.197513,-76945.9720597,-7651.21412248,-38342.2919907,2984.52552116,3060.40671396,3134.44435956
212.70457,768.39966,502.63086,758.7463,1748.88106303,108.428992477,347.736562494,3877.71210156,3877.71210156,4240.60835293,0.18039216,0.18039216,19.2329393314,290.086954192,294.209585213,0.985987434713,0.171000003815,1474.40566352,-1.90701067849,-19.2329393314,-236039.633033,-42306.8990666,-6429.06173373,-6429.06173373,1453.46623615,1459.95052064,1472.06718831
719.0014,712.4434,562.2192,725.4332,872.226952254,222.691519174,909.411708315,1300.0926613,1300.0926613,1300.0926613,0.18431373,0.18431373,161.136816559,157.319398489,167.055920845,0.941716987299,0.180000066757,35.341144206,175.263718112,161.136816559,-79611.9149552,-49691.117386,-13008.9874339,-13078.229265,30.9768905413,31.7672343789,34.2043372609
375.47852,781.3895,602.422,755.94086,849.391163672,271.416411665,1045.0388824,1189.37727119,1045.0388824,1045.0388824,0.1764706,0.1764706,12.7124592711,228.365882724,230.301548688,0.991595080557,0.261999845505,1384.11024096,-6.39821730101,-12.7124592711,-72243.1344234,-58168.4235436,-15197.235361,-6349.80918084,1353.47438264,1367.73612179,1380.44176276
676.06104,788.3841,486.82385,822.8572,962.446583453,221.069773392,1100.55630104,1363.81573401,1228.05886725,1382.35040836,0.17254902,0.17254902,172.291254059,192.351523786,192.776776286,0.997794067789,0.1890001297,480.50484253,169.675712099,172.291254059,-78995.4599874,-56790.4713661,-13304.7371302,-13304.7371302,461.218011613,464.087506955,469.136173213
244.6602,912.2873,427.4064,865.324,1169.39625752,72.9904770806,784.991950896,2079.36983321,2079.36983321,483.208135329,0.16862746,0.16862746,37.3191141248,188.684194254,192.613576336,0.979599661891,0.142999887466,3208.54586592,-14.4123679712,-37.3191141248,-148917.404176,-80689.5533548,-4317.46733807,-4317.46733807,3064.48722478,3128.39109228,3203.41395856
667.07355,797.3771,413.4258,843.3411,1782.20721282,462.96011136,952.888618971,2044.39197938,2044.39197938,4151.85177364,0.17254902,0.17254902,94.2281666334,257.778723668,260.543095792,0.98938996209,0.139999866486,426.297165364,169.728780877,94.2281666334,-114100.029954,-54954.9330842,-19811.3490722,-19811.3490722,392.688039123,397.951265033,406.749660503
250.65187,891.30365,394.45215,853.3333,919.950340424,125.257913136,459.533535884,1546.86333397,1546.86333397,125.257913136,0.1764706,0.1764706,32.5933626326,148.728840536,152.362081024,0.976153906122,0.144000053406,3818.91283673,-14.7913132778,-32.5933626326,-125237.13137,-73847.3375861,-14913.5056026,-14913.5056026,3676.39177529,3734.91198488,3806.86408561
279.61166,793.3802,585.18726,778.3919,1559.97737559,147.766185498,2080.75755715,2786.42969255,2323.2849543,2080.75755715,0.18039216,0.18039216,23.4682222318,305.942962743,313.45610379,0.976031281713,0.196999788284,1329.17309894,-2.80807315322,-23.4682222318,-200985.959259,-50215.3841622,-8601.28889636,-8601.28889636,1307.64231832,1317.30391736,1327.88694802
695.03467,736.4247,394.45215,791.3817,2055.56148517,252.980815428,689.057790307,2053.30610578,2053.30610578,689.057790307,0.15686275,0.15686275,28.3635800586,305.565251916,310.07815985,0.985445901976,0.131000041962,107.195802203,169.638769481,28.3635800586,-170425.387127,-55288.7652039,-15138.2559598,-15138.2559598,90.8763260621,93.4556946528,106.392887
208.71013,855.3318,523.27325,827.35364,1778.80310167,238.873247047,1351.16549276,3782.97348396,3782.97348396,1484.74043495,0.17254902,0.17254902,15.1176505368,315.804898475,318.781410218,0.990662844047,0.168000221252,1744.81597409,-5.08267889467,-15.1176505368,-264697.32497,-77325.6621558,-14510.0580484,-14510.0580484,1696.47147727,1730.83276049,1741.7326392
696.0333,748.4153,519.2788,767.40045,1091.66287728,230.487898791,773.187583843,1462.49703617,1462.49703617,3347.03364886,0.20392159,0.20392159,129.23271659,177.771170865,220.42869459,0.806479261678,0.192999839783,226.121986913,173.869380712,129.23271659,-82682.4064697,-23040.3921037,-13994.9528128,-17165.3034208,216.271933989,218.650946866,221.387783415
169.76422,912.2873,424.27496,852.5285,1581.32509384,291.499828063,746.525440362,3510.17887865,3510.17887865,3525.01318895,0.18039216,0.18039216,20.5125104829,261.432268385,262.987988404,0.994084444583,0.164999961853,2581.6260528,-13.2136226169,-20.5125104829,-202959.479692,-67268.391337,-18098.0985115,-18098.0985115,2454.16199108,2521.15264464,2574.02876946
