x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
504.2996,700.45276,315.81067,749.9976,1163.09951437,451.132421017,749.065789559,1743.73184486,1743.73184486,1743.73184486,0.21176472,0.21176472,168.03955188,194.891682488,195.525898893,0.996756356021,0.166000127792,754.852117617,165.272787724,168.03955188,-121941.624243,-38247.2728109,-25241.9542639,-25241.9542639,703.438213179,712.920836842,743.489993514
265.63107,749.4145,411.4286,719.4379,1458.47475623,101.069120584,866.095804637,2455.06597041,1641.56449099,2455.06597041,0.20000002,0.20000002,42.2221197466,148.847291886,152.4637193,0.976280078756,0.0929999351501,2427.8183696,-11.6183500674,-42.2221197466,-227985.288951,-92874.4372399,-4675.24274416,-50846.577478,2338.31687849,2369.31291736,2427.47613802
449.3759,733.427,349.51456,739.4223,1340.19707251,234.96975546,1567.65047193,1689.06553032,1567.65047193,1567.65047193,0.18823531,0.18823531,87.7066190479,100.041145779,100.937199427,0.991122661873,0.061999797821,2099.47333215,176.564300334,87.7066190479,-227669.034981,-99122.0602443,-11476.2803502,-99122.0602443,2065.47914067,2088.19589166,2099.47333215
242.66298,746.4169,469.34814,667.4785,1685.79794931,749.430585398,1254.23099417,2882.21929662,2882.21929662,749.430585398,0.19607845,0.19607845,32.9105878015,240.0363155,245.878521094,0.976239463424,0.128000259399,1560.62157872,-19.1996112186,-32.9105878015,-193639.493449,-138796.316322,-61406.6727781,-61406.6727781,1406.11311275,1482.6362748,1547.84792475
498.30792,648.49335,376.4771,674.4731,774.211374577,74.3360993536,338.870037898,1112.38327042,1062.88969903,321.020187521,0.20000002,0.20000002,131.586852526,124.570045003,124.739045402,0.998645168409,0.141999959946,813.1652561,167.962294195,131.586852526,-116150.001523,-64420.6650947,-4033.79066645,-4033.79066645,782.912471847,785.688356872,812.21864688
223.68933,705.44885,363.2809,662.25824,1202.07729112,173.6906997,678.633746752,2479.30320627,1878.30885255,2479.30320627,0.19215688,0.19215688,18.8323745448,146.120618693,146.283028528,0.998889756132,0.114000082016,2314.96363841,-17.1924338728,-18.8323745448,-143163.80326,-40535.582349,-9538.49030856,-32873.262599,2183.46469288,2267.29868236,2311.13100929
513.2871,630.5074,426.40778,640.49963,525.257782747,74.3006288654,165.196645695,792.050273807,792.050273807,71.3303109755,0.19607845,0.19607845,176.121949408,87.45204917,87.6240435963,0.998037132056,0.154000043869,858.636680694,173.439082296,176.121949408,-71318.4764352,-21916.1882258,-4467.30275084,-4467.30275084,846.485542286,846.901180787,858.522578842
311.56726,630.5074,396.94873,603.02893,1057.3688082,313.105922697,678.993606327,1434.75141974,678.993606327,1434.75141974,0.18823531,0.18823531,18.1823358254,89.6942681162,89.7998799817,0.998823919748,0.0699999332428,2231.24503208,-17.8398249958,-18.1823358254,-81536.1644703,-39627.7885557,-18134.6206967,-39627.7885557,2144.28564275,2198.47329821,2224.13014557
467.35092,597.5332,345.5201,618.5168,1200.95991299,607.994879246,671.997651675,1671.4027464,774.482478968,607.994879246,0.21568629,0.21568629,170.636575535,123.624674604,123.682645807,0.999531290725,0.0870001316071,651.325696108,170.22751024,170.636575535,-386053.068613,-94836.7796833,-38755.4386791,-43885.8585498,632.914863982,636.627207769,651.325696108
198.724,680.4684,386.46326,621.51447,1654.93948484,399.102915208,1795.02454953,3311.320179,2154.19481181,3311.320179,0.21176472,0.21176472,18.7685507251,196.778036396,196.890366911,0.999429476835,0.118999958038,1654.58503914,-17.4333448834,-18.7685507251,-203475.720073,-97570.0147355,-23033.1351508,-25927.14584,1521.56775688,1597.90739776,1648.40338418
