,x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
rmi,0.29021047859,0.398154426498,0.284344455612,0.318355956287,0.216035675109,0.0,0.125048450908,0.141750730991,0.193052227294,0.225949039944,0.0,0.0,0.221619512677,0.373587734792,0.399853222436,0.136382625759,0.374741100875,0.216321654956,0.33682735777,0.221881360974,0.162713304526,0.128052541711,0.00875955441686,0.0,0.249471784037,0.233991526627,0.221267188828
anova_f,5.57403134189,55.1534070519,4.47432495152,47.9105936549,23.2321409962,1.8797146523,12.0510526442,15.0878890642,16.2716011907,28.7844672416,7.85555555556,,4.02927808696,57.9149727033,18.0809410618,25.7720847881,14.0395499222,16.8029321544,9.21071379722,4.02927808696,16.2697694173,12.3644836031,1.54965624763,2.5723710554,17.4020765065,17.1298389056,16.8667093113
rfc_imp,0.0633779403286,0.0668122066321,0.0611895140142,0.0574108351028,0.0468149216219,0.000926381652655,0.0241222390998,0.0378756757596,0.0339526311419,0.0440156180687,0.0,0.0,0.0441954387533,0.0500823803332,0.0515983862702,0.0471446897015,0.060935173142,0.0365381559694,0.0577312044015,0.0448020722477,0.0396279854536,0.0234278827942,0.000742427902985,0.00103364597087,0.0349838782321,0.0337604873254,0.0368982280797
