,x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
mi,0.414774816968,0.509612300895,0.3075380259,0.589163585106,0.371579064272,0.210202154766,0.260818222332,0.287923430404,0.24527574861,0.14111259712,0.459996967503,0.472189126006,0.134640368491,0.36239132509,0.372949267156,0.130837214917,0.58383757796,0.254771345743,0.322465351041,0.211650751192,0.274729661014,0.256672340946,0.209972648617,0.367755061291,0.258496654545,0.257838535559,0.250937673726
rmi,0.127151319066,0.156224229679,0.0942773381038,0.180611078415,0.11390944249,0.0644385342498,0.0799551458995,0.088264384597,0.0751905219288,0.0432587807327,0.141014398155,0.144751966041,0.0412746862946,0.11109289455,0.114329485118,0.040108810321,0.178978363973,0.0781014452814,0.0988533851641,0.0648826088145,0.0842197678248,0.0786842049805,0.0643681779783,0.112737175025,0.0792434575463,0.0790417078408,0.0769262137247
anova_f,5.63757735553,102.471326836,21.9684537924,112.913941222,69.9313989587,29.2057235236,40.7220102207,50.202767373,45.1037242302,21.5345013095,70.1196948724,70.1196948724,1.44240421148,80.1025517281,50.3063229698,7.83817803723,17.6239006115,5.90561099386,7.39554957004,5.35293033491,38.6976812482,49.3574274203,28.3893775298,56.5801385405,5.95849227123,5.94324821696,5.91031231167
rfc_imp,0.0471312950101,0.0578039208252,0.0490467535903,0.065219082357,0.0414678041611,0.0278139396278,0.033817798557,0.0264670701673,0.0337219788561,0.0247627682203,0.0562059311552,0.0504997009819,0.0272604068268,0.0348040219484,0.0386238454571,0.0280218970776,0.057114483302,0.0291561946921,0.0392728926642,0.0260520027635,0.0332223559333,0.0324316947291,0.0252529292356,0.0374531403231,0.0271834912808,0.0274976510524,0.0226949492048
