,x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
mi,0.383526208097,0.399024704634,0.344785704935,0.474383196358,0.227485908932,0.0853381078449,0.14144087805,0.163756704099,0.19945117336,0.0660881584687,0.535963029063,0.54532059845,0.100629915195,0.45838133169,0.45083797748,0.0800208436284,0.527439022792,0.252383149041,0.404657299256,0.224874311425,0.150593743655,0.177120170755,0.121318320635,0.249784607679,0.282964196783,0.279856019655,0.25590145073
rmi,0.114681441323,0.119315778909,0.103097313182,0.141849364005,0.0680225011128,0.0255176751962,0.0422934428322,0.048966288238,0.059639595813,0.0197615837134,0.160262874795,0.163060961398,0.0300902088859,0.137064510023,0.134808907368,0.0239277146893,0.157714039007,0.0754672371449,0.121000029049,0.0672415850766,0.0450303192116,0.052962212336,0.0362764253802,0.0746902251378,0.0846115369559,0.0836821344135,0.076519274529
anova_f,4.98116101188,58.0152998731,15.608382514,68.7583626547,24.7704507303,12.4310165337,25.1924104225,21.0975064835,29.6062042795,10.409893484,79.8538333518,79.8538333518,1.45274733899,130.988053756,20.9497065608,4.40103815618,3.60630823574,25.8599152895,10.8439787667,8.94923971028,13.9244105363,24.0105224904,13.1902687854,31.2245845006,27.1843100338,26.5424174188,26.2595658385
rfc_imp,0.046833607729,0.0522178065518,0.0533229143327,0.0599774704399,0.0347306376362,0.0298216410355,0.0261594282789,0.0310183387429,0.0313720147059,0.0249104611958,0.0582751184142,0.0489787152242,0.0240441968038,0.0411991752983,0.0470926375536,0.0286121736872,0.0479358322504,0.0283402853824,0.0403993281907,0.0345694349158,0.028417092169,0.0323775625814,0.0305081750408,0.0433720350071,0.0271039071002,0.0236947542647,0.0247152554679
