,x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
mi,0.297808000788,0.404901774201,0.287220901993,0.321587115218,0.213311619221,0.0319035377719,0.132167491818,0.141774705327,0.197234259184,0.229829947583,0.00588000348234,0.0,0.194330979832,0.382148172787,0.410205131009,0.1361986717,0.375822887902,0.216820562998,0.33411647362,0.326132494488,0.15751919484,0.143352627516,0.0130882631111,0.00567403519172,0.250478261384,0.233723114216,0.219261441018
rmi,0.0896786835362,0.121927745312,0.0864905989989,0.096839269122,0.0642343561763,0.00960708664632,0.0397994904138,0.0426925028839,0.0593929936908,0.0692085070982,0.00177064071513,0.0,0.0585187315167,0.115075971635,0.123524740878,0.0410133963666,0.113171243689,0.0652910015911,0.100612224731,0.0982080155224,0.0474336283363,0.0431676613222,0.00394125813435,0.00170861764958,0.0754263172109,0.0703808532325,0.0660260212243
anova_f,5.63760999138,55.6084767866,4.49441901214,47.5476707783,23.3756554343,1.87119726032,12.3337804182,15.1796912088,16.3239452419,29.1286322412,14.1379310345,,0.979404825752,60.270096542,18.8021392468,26.794351973,14.5421563715,16.7279730847,9.34996348049,8.43005786279,16.3366363349,12.5666857921,1.53490144926,2.5570908895,17.4114863214,17.1244047188,16.820398426
rfc_imp,0.0588812223442,0.0627218441262,0.0649155067021,0.0600658002173,0.0450584047529,0.00106990043509,0.0232729959066,0.037238088867,0.0382324441441,0.0437765428055,0.0,0.0,0.0443502645088,0.050396252439,0.0502713775134,0.0449726832803,0.0627541835466,0.0380220033954,0.0508142486246,0.0506928410759,0.0394062990685,0.0224558269345,0.00139436754329,0.000929770985394,0.0342313167227,0.0356927616212,0.0383830524392
