,x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
mi,0.389033750485,0.403327220834,0.273358717707,0.467778434046,0.29196790822,0.222548313972,0.259979288753,0.295115275864,0.306818208808,0.243709617525,0.370956547583,0.00650995452506,0.20636360793,0.457533038294,0.459549702264,0.16013462768,0.473509901611,0.231425248119,0.343252481809,0.325330038598,0.229819671334,0.25498671185,0.185803592597,0.259363031052,0.222519128112,0.22389954176,0.23487110416
rmi,0.120230415342,0.124647795259,0.0844811847975,0.144566365625,0.0902323328707,0.0687782902873,0.0803462882796,0.0912050230771,0.0948218005078,0.0753181658436,0.114643677403,0.00201189366071,0.0637764262402,0.141400038321,0.142023285909,0.0494894151794,0.146337668822,0.0715216961694,0.106081769007,0.100542859366,0.0710254945843,0.0788033383584,0.0574223780894,0.0801558345741,0.0687692704322,0.0691958856191,0.0725866338581
anova_f,11.4409752936,57.1675765085,18.6764756876,59.5640476653,48.9644680015,20.0789959354,43.751072448,50.1099336393,48.9276196511,39.0743622744,89.1758808533,,1.89067682326,113.7843346,101.604104006,27.7379382257,35.5698298955,21.2957490955,10.7035287685,11.7022887031,27.6092566543,36.4616044219,20.0821521526,47.5950589651,22.2675070935,21.8226969494,21.5565782686
rfc_imp,0.0471809783502,0.0574902976237,0.0594949254158,0.0612343705137,0.0363589484197,0.025336442086,0.033848078433,0.0363151870617,0.0356283951031,0.0348779034705,0.0519355680899,0.0,0.0347580428357,0.0482587006384,0.0422344521652,0.0374444265321,0.0528354637537,0.0264447158343,0.0426147674535,0.0390227239105,0.0296674669384,0.0288831689085,0.0256863083289,0.038191530265,0.0252975984977,0.0222038320993,0.0267557072716
