,x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
mi,0.327017908329,0.565689879059,0.245656629914,0.515594521919,0.208068019115,0.0151196787844,0.179357642701,0.183010618243,0.208509005921,0.202070908072,0.00250051061139,0.00433123377203,0.250134029313,0.293071627122,0.3235303266,0.155492251863,0.441131322986,0.269549986361,0.368040915181,0.333072380617,0.173705308316,0.169496649816,0.00769702134886,0.0,0.279051985132,0.261139888267,0.263106371115
rmi,0.101132872055,0.17494406485,0.0759712538362,0.15945167983,0.0643466789432,0.00467588013096,0.0554677681848,0.0565974797347,0.0644830575973,0.0624920249675,0.000773302664148,0.00133946826688,0.0773559249782,0.0906347163683,0.100054309849,0.0480872074976,0.136423347196,0.0833604631088,0.113819561064,0.103005265449,0.0537197391146,0.0524181782191,0.0023803646695,0.0,0.0862990313079,0.0807595738216,0.0813677241801
anova_f,8.20780725526,123.658824287,7.48562330472,104.946690763,35.1138186358,2.49273979166,18.4154168383,20.1573239514,10.9974839304,26.431808784,-0.0,,0.845042251362,58.1471078746,39.4894917145,20.6916459034,21.0419966602,25.1312749233,5.97753603607,5.32242154775,21.333897226,21.7945365288,2.85809328648,3.73591506789,25.2888503603,24.8762510432,25.0500968785
rfc_imp,0.055084498285,0.066629986114,0.0602043139311,0.0755354009828,0.0485730915747,0.000686749231216,0.022843392885,0.0400712385807,0.0374463676654,0.0401435671793,0.0,0.0,0.0412625845105,0.0471441859205,0.0497693083813,0.0453591302493,0.0707658670742,0.0312628106974,0.0479084989954,0.0454064070662,0.0457697941042,0.0209935038778,0.00105360843182,0.00103240946959,0.0352622130937,0.0361354265741,0.0336556451248
