x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
651.39685,1339.3024,148.86217,1233.3575,2685.16010563,0.0,2264.85623311,5522.15452164,4900.50295149,20.5268342868,0.06,1.0,98.4995180374,513.58098333,514.563402243,0.998090771888,0.144999980927,1793.90122297,-168.095171374,-98.4995180374,-279496.36127,-6842.23024369,0.0,0.0,1651.99549228,1750.65677089,1793.90122297
190.82332,1349.2972,360.66605,1371.2858,1279.61876534,735.56728422,1248.03737426,1876.40029438,1630.38731979,1876.40029438,0.04,1.0,7.0795612879,171.260186453,172.410064397,0.993330563687,0.133999824524,9275.93747397,7.3767367159,7.0795612879,-289596.217828,-69028.093147,-42269.8306584,-61308.8947573,9123.85232206,9195.17175563,9275.93747397
567.47455,1444.2478,450.5828,1403.269,1258.2114082,0.0,0.0,3079.81362005,1075.8978271,3079.81362005,0.06,1.0,160.599748751,123.866635005,123.86860814,0.999984070745,0.0940001010895,10222.9130335,-160.680838595,-160.599748751,-196538.857253,-63849.9209189,0.0,0.0,9932.85013113,10057.3227435,10222.9130335
220.79556,1255.3462,571.4709,1280.3331,3702.22368568,816.563297486,1868.9850207,6502.82569139,2992.22128417,2992.22128417,0.02,1.0,1.17654429079,351.564416936,355.940136144,0.98770658669,0.0980000495911,3767.64360728,4.07564560581,1.17654429079,-1496219.08692,-372481.948129,-49166.8781387,-110308.501378,3679.82713952,3680.1603813,3767.64360728
217.79834,1418.2612,610.4348,1518.2092,3510.19000557,874.846274099,1965.75064594,6750.93978103,2745.22062206,6750.93978103,0.049999997,1.0,3.28679157069,405.157984526,419.260862589,0.966362521948,0.118000030518,4498.37798567,14.28166774,3.28679157069,-604185.319931,-113567.459773,-52828.431462,-112889.064493,4189.86099146,4207.23370222,4498.37798567
700.3515,1435.2524,518.5199,1347.2982,1602.84691874,0.0,0.0,4002.29160829,566.29100047,4002.29160829,0.06,1.0,152.035574259,201.98681159,202.448689712,0.997718542299,0.118999958038,5221.9660887,-154.186370057,-152.035574259,-215699.57808,0.0,0.0,0.0,4901.9569741,5185.29331647,5221.9660887
659.38947,1350.2966,254.76411,1270.3384,4051.24877146,0.0,1112.60780818,8746.54326398,3101.32025266,8746.54326398,0.07,1.0,168.637900011,412.449991759,412.674827534,0.999455174487,0.138999938965,2261.92160794,-168.821773062,-168.637900011,-658717.509852,-58190.8257846,0.0,0.0,2134.4382232,2191.99662631,2261.92160794
617.4283,1264.3414,249.76874,1178.3862,2205.0603681,868.937966246,1261.06177328,2634.72121281,1012.73590026,1261.06177328,0.04,1.0,164.949718872,377.573633172,378.582881528,0.997334141595,0.182999849319,2166.25034874,-166.841155559,-164.949718872,-390205.901064,-136537.971723,-52981.375898,-59098.756097,2027.11477245,2058.40066151,2156.82144988
217.79834,1136.4081,632.8031,1219.4937,2815.82223959,1516.67175136,2025.28433725,3774.23468843,3053.3152165,2025.28433725,0.04,1.0,10.1295578828,423.240082873,426.905484771,0.991414020131,0.156000137329,2646.81645338,11.3211690987,10.1295578828,-295435.742145,-188809.373614,-93044.0410277,-93044.0410277,2500.56222367,2592.90225122,2646.32050814
738.3164,1267.3398,571.4709,1235.3566,1699.21277827,0.0,1391.23547265,3236.97957468,2291.92668507,3236.97957468,0.06,1.0,168.73651074,169.883330414,169.944672736,0.999639045334,0.15299987793,3946.54618742,-169.148411708,-168.73651074,-549464.456769,-79546.7946392,0.0,0.0,3846.94923953,3902.30739476,3946.54618742
303.71878,1174.3883,723.47363,1226.8492,2732.33087967,2337.58570784,2796.52213052,3345.34327926,2684.97527915,2337.58570784,0.03,1.0,6.5435280814,423.020425189,423.977698962,0.997742160083,0.208000183105,2525.12677987,7.12387984111,6.5435280814,-247334.692676,-191294.438309,-165473.029161,-191294.438309,2452.96383899,2489.57269064,2512.42258783
578.4644,1167.392,371.65588,1131.4106,2348.17727018,524.742169796,2400.64369469,3390.9784373,2400.64369469,3390.9784373,0.04,1.0,170.976345771,209.915280746,210.136020092,0.998949540652,0.101999998093,3265.47389639,-170.130239835,-170.976345771,-206511.200782,-137823.689265,-30395.6754539,-137823.689265,3174.22784518,3233.72506826,3253.07814602
220.79556,1238.355,634.44293,1305.3201,3232.58089607,423.461441337,2633.72704246,7994.88612312,2806.58273418,957.229054132,0.04,1.0,2.53462162937,419.03278073,425.12101636,0.98567881757,0.134000062943,3169.77776217,9.19579488756,2.53462162937,-595935.006202,-154942.543881,-25084.1355581,-78669.4580456,3003.33288808,3139.29172596,3169.77776217
645.4024,1252.3477,343.03644,1209.9778,2537.91300546,0.0,729.83625226,6391.34886224,1452.84914806,6391.34886224,0.07,1.0,173.039266278,305.320130671,305.844536294,0.998285385019,0.125999927521,2489.53958198,-172.023203774,-173.039266278,-366771.226823,-44161.8241774,0.0,0.0,2405.31253934,2480.25141733,2489.53958198
223.79279,1202.3738,517.5208,1193.3784,5001.94343461,1868.64792707,7490.79887368,7490.79887368,7490.79887368,7490.79887368,0.03,1.0,0.920214862627,293.86571947,295.642649979,0.993989600253,0.101000070572,4000.7499252,-1.75413103178,-0.920214862627,-106617.80943,-27873.6423078,-27873.6423078,-27873.6423078,3973.98322639,3994.46192165,3994.46192165
734.32007,1357.2931,419.61148,1303.3212,3409.97468962,0.0,4223.52103219,5390.94244219,4851.03179575,4851.03179575,0.049999997,1.0,170.005719165,319.303088944,320.218362541,0.997141720453,0.0860002040863,2648.13283799,-170.268555993,-170.005719165,-340509.428894,-312263.976676,0.0,-258582.520623,2542.83151382,2555.54043777,2604.67867073
