x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
900.1665,1256.3456,418.6124,1401.2701,2394.71765043,0.0,1108.37811186,2844.29839743,1963.51420308,2844.29839743,0.06,1.0,0.482968171232,502.889114942,511.657453629,0.982862873149,0.111000061035,992.471517568,163.250745561,-0.482968171232,-112656.809214,-67309.9774015,0.0,-49594.7615063,861.591872302,879.511341023,992.471517568
370.6568,1356.2936,805.15515,1297.3694,5315.86590003,0.0,7279.00245978,8179.26840129,7279.00245978,7279.00245978,0.08,1.0,7.95068596647,438.47562931,440.727498933,0.994890562471,0.0610001087189,3048.77351079,-7.72301311612,-7.95068596647,-473862.31437,-443815.673142,0.0,-443815.673142,2916.31949043,2955.05565995,2981.87524526
893.173,1325.3097,442.5902,1401.2701,4380.74617222,1055.52051263,3180.42515527,7008.96132818,6581.25563889,6581.25563889,0.049999997,1.0,171.222060462,456.940742355,459.277451156,0.994912206564,0.0989999771118,1325.20517584,170.43090555,171.222060462,-1224878.60767,-184099.388788,-62789.4731921,-179709.941558,1253.6065774,1255.38800405,1325.20517584
380.64755,1374.2842,860.2035,1337.3035,5377.17099283,904.784298911,5725.07128459,8312.95163793,7761.31675014,5725.07128459,0.08,1.0,2.12071240714,480.979709918,488.404439184,0.9847979898,0.077999830246,2837.75674343,-4.40960635811,-2.12071240714,-1056367.72145,-511797.107705,-48235.9524444,-446996.620866,2762.68154846,2762.68154846,2780.22358365
875.18964,1368.2874,420.61053,1410.2655,4985.15217123,3110.71310288,5537.74828346,6855.96638562,5701.34455624,5701.34455624,0.06,1.0,41.5012879614,456.513228864,463.452507924,0.985026989948,0.077999830246,1523.28282093,174.723985525,-41.5012879614,-1082422.82338,-372184.261993,-188881.426645,-318890.131678,1441.59400584,1465.69511309,1523.28282093
390.6383,1400.2706,848.2146,1357.2931,6191.75351336,5474.18398829,7185.49106654,8228.22828397,7185.49106654,7185.49106654,0.07,1.0,2.20576610196,459.590182476,468.693664347,0.980576904353,0.077999830246,3074.51769043,-5.36572034851,-2.20576610196,-568423.288835,-414442.784876,-44617.9140928,-414442.784876,2981.71502913,2982.51941325,2996.7618891
972.0999,1471.2336,604.4403,1462.2384,4182.9989216,1229.79276041,4078.37606345,6721.26243882,5216.25091048,6721.26243882,0.049999997,1.0,36.0275992838,367.769622312,368.916698194,0.996890691346,0.0780003070831,2002.89880625,-178.598474792,36.0275992838,-778510.622058,-318162.70986,-72784.6610435,-234685.424121,1983.57460196,1984.53710855,2000.02941842
414.6161,1458.2405,812.212,1388.5417,4352.18874591,2877.87889651,4878.71131644,5654.32147177,4878.71131644,5654.32147177,0.07,1.0,10.7149131077,403.658794551,410.612990683,0.983063867218,0.0869996547699,3681.77256073,-9.94295600429,-10.7149131077,-345039.077869,-299264.51787,-164408.68146,-299264.51787,3589.95274747,3611.70418624,3635.49225824
883.18225,1308.3186,573.06134,1357.3417,3175.61786687,573.190431031,2296.5107241,4896.06310839,3086.98554655,4896.06310839,0.07,1.0,103.423609369,313.971723492,316.061120328,0.993389263338,0.0939998626709,1837.92122941,171.017163705,103.423609369,-297802.36675,-176689.203157,-33527.8186152,-140446.78265,1761.05297455,1766.54753635,1837.92122941
407.62256,1398.2717,787.76483,1339.0492,4495.31708297,2032.86330421,6043.50694657,6076.94732607,6043.50694657,6076.94732607,0.08,1.0,12.0455720406,384.727760822,390.310625196,0.985696355635,0.0769999027252,3551.32255891,-8.85494938851,-12.0455720406,-371647.099882,-349140.050875,-121010.192085,-349140.050875,3447.96521978,3470.48907034,3498.22586704
