x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
566.2136,829.35205,393.45355,826.35443,1441.77239127,192.359544182,365.417145962,1318.56178211,1318.56178211,276.283176095,0.18431373,0.18431373,82.3381746325,172.786054419,174.165896848,0.992077424722,0.144999980927,1258.46744167,-179.005940659,-82.3381746325,-226732.760402,-48051.7164545,-11163.416521,-11163.416521,1246.04282378,1255.18034761,1258.03213123
188.73787,856.331,450.1605,824.96735,2603.62053613,405.992063078,823.013190846,5236.76994188,3747.62845758,5236.76994188,0.18431373,0.18431373,12.4232546074,263.297303475,264.663795448,0.994836876082,0.0929999351501,2161.32661535,-6.84124682884,-12.4232546074,-312895.962838,-215040.932644,-23058.5942103,-47691.3582268,2091.71354231,2114.3468724,2156.39879919
289.59778,743.4192,510.29126,738.4231,1163.82793546,298.074819952,669.441600395,2390.60317611,1541.05010151,532.78458293,0.19215688,0.19215688,15.3734813697,220.750024076,230.836463291,0.956304826929,0.18499994278,1528.10703716,-1.29685099117,15.3734813697,-188695.107302,-39844.3680051,-16864.1667473,-16864.1667473,1518.69469708,1526.99344315,1527.99403184
535.2566,794.3794,440.3674,796.5313,976.221619021,291.029125938,335.625913321,803.063596365,335.625913321,717.771988324,0.19215688,0.19215688,4.65213269439,94.9135972885,106.083560114,0.89470599579,0.101999759674,2174.60328804,178.700867349,-4.65213269439,-46903.5204689,-38512.7342138,-17471.2404843,-19451.7181743,2165.50218787,2166.51389817,2174.60328804
475.3398,799.3755,298.5853,821.35834,1765.40345301,358.224691522,579.501261087,2546.98569556,579.501261087,2546.98569556,0.18823531,0.18823531,174.190469796,178.11625003,178.196439399,0.999549994549,0.0929999351501,1494.24560986,172.910564816,174.190469796,-152662.272968,-33838.0163319,-21809.4965864,-31540.9260258,1458.02324599,1459.75437094,1494.24560986
148.79335,883.30994,267.6283,847.338,968.332387083,67.2227450241,305.042932546,1050.59100459,1022.89204719,1050.59100459,0.18823531,0.18823531,43.6324696132,124.160081382,126.627211422,0.980516588721,0.126999616623,5214.97711924,-16.8413291665,-43.6324696132,-426988.374645,-5319.27659689,-3985.45983081,-4128.47569741,5012.75298315,5189.11416607,5209.31023364
440.38837,846.3388,279.61166,866.3232,1290.12693949,61.6218224648,831.816665756,3714.04260693,831.816665756,666.913174283,0.18039216,0.18039216,87.6345006127,162.013970761,164.111672729,0.987217838114,0.107999801636,2170.70339,172.914527967,87.6345006127,-363147.176216,-48274.3936452,-3472.28396204,-8141.00828146,2107.86448895,2132.77496181,2170.70339
161.77531,887.30676,304.86285,858.3744,1724.41192101,157.580278669,895.557080349,2340.28988352,895.557080349,2340.28988352,0.18431373,0.18431373,48.3757158133,145.983305752,151.053282029,0.966435841652,0.0799999237061,4394.06145078,-11.4311065032,-48.3757158133,-132433.87212,-52521.6332905,-6929.29011623,-52521.6332905,4266.0879603,4356.18403915,4391.43100623
463.35645,854.3326,221.6921,887.30676,1865.34741499,173.584837084,1075.64729692,4733.92652763,1742.46849156,1075.64729692,0.18039216,0.18039216,126.419789892,243.903573751,245.571039929,0.993209841934,0.126999855042,1422.34808436,172.230195019,126.419789892,-393415.471088,-35698.9760725,-10416.2797629,-24838.1262919,1361.2318183,1378.35146657,1422.34808436
511.2899,869.32086,339.1119,880.8363,1702.38133417,54.2648481664,1026.15156237,1997.71525757,1026.15156237,1997.71525757,0.18823531,0.18823531,65.3565724594,172.562652513,174.789101789,0.987262081828,0.0950000286102,1827.5487859,176.173698228,-65.3565724594,-118948.240469,-76660.969582,-2365.39457486,-55011.0612854,1795.26418409,1797.2519631,1827.5487859
211.70596,849.3364,468.2478,829.99756,2815.43665906,1198.0563421,2715.14268064,5006.79070749,2715.14268064,5006.79070749,0.19215688,0.19215688,4.46761607436,257.269715286,257.284298923,0.999943317034,0.0849997997284,2097.83176692,-4.31096235526,-4.46761607436,-298353.996887,-154555.218165,-67759.9142309,-154555.218165,2057.10846609,2072.20109402,2087.73324031
477.33704,934.2701,233.84085,940.23627,1685.13201039,96.2229066099,757.572379083,1921.52965924,1921.52965924,5018.49012599,0.18823531,0.18823531,59.9950320455,243.569270905,248.631348045,0.979640229682,0.138999938965,1763.87207786,178.596413447,-59.9950320455,-122518.07323,-47263.8268758,-5392.55981092,-5392.55981092,1728.22224103,1737.05204242,1742.87061631
241.66437,914.2857,385.46466,908.79004,1649.17488915,445.295981719,650.72530949,2437.83439267,650.72530949,2437.83439267,0.18823531,0.18823531,3.78761923198,143.905266349,143.983313255,0.999457944785,0.0810000896454,4269.37663388,-2.18862533657,-3.78761923198,-138688.331071,-35839.6783485,-27181.0465967,-35839.6783485,4247.73589532,4254.12422958,4264.6718102
512.2885,871.3193,308.57144,921.2803,1851.04437453,456.918197868,936.629767773,4463.97556515,1664.37883569,4463.97556515,0.18823531,0.18823531,120.57966177,209.754003671,211.40208047,0.992204065375,0.110000133514,1576.93296597,166.220348814,120.57966177,-262653.311563,-46606.5862152,-5446.32881557,-26892.950658,1482.85817617,1486.81944778,1570.51499586
559.2233,840.3435,397.448,846.3388,1775.01525599,604.657863516,1128.31008968,2784.00304148,1128.31008968,1454.14218175,0.19607845,0.19607845,141.574271373,161.886353076,182.459196609,0.887246880859,0.0839998722076,1469.69110245,177.877622483,141.574271373,-358466.953247,-163158.316063,-36663.8560864,-61691.4289439,1463.06755959,1464.64693721,1469.69110245
356.50485,838.34503,471.34537,827.35364,1355.5104382,160.676687919,1121.52258196,2551.31736639,1121.52258196,2551.31736639,0.19607845,0.19607845,8.05145921443,115.365314059,115.478219838,0.999022276421,0.0699999332428,3487.6255624,-5.4671278412,-8.05145921443,-156512.976695,-69934.342633,-6900.27478046,-69934.342633,3455.56400615,3472.75049637,3485.36215913
636.1165,796.3778,347.53342,835.66736,2924.09668327,1157.98936396,2409.46775359,3934.3804521,2409.46775359,3934.3804521,0.20392159,0.20392159,72.6841267102,291.245366637,332.339037443,0.876350153981,0.0989997386932,459.836113542,172.247051394,72.6841267102,-243689.867474,-225312.766489,-65706.7588426,-146657.048965,406.554213149,411.704379261,459.836113542
200.72122,982.2326,428.90433,911.7877,2857.19499623,240.487784417,1428.89454204,2841.31664921,1428.89454204,2841.31664921,0.19607845,0.19607845,24.385091689,238.809580263,239.762666818,0.996024875064,0.0659999847412,3183.08384124,-17.1565515231,-24.385091689,-157361.391275,-89063.9093734,-11305.0569414,-89063.9093734,2983.85208378,3130.36264539,3177.16675683
557.2261,757.40826,266.0207,766.90424,2479.00445859,76.5920038968,931.493153023,5144.74738449,2556.75866201,5144.74738449,0.19215688,0.19215688,78.2986671448,291.360187097,296.796128729,0.981684593883,0.110999584198,526.909832142,178.132291337,-78.2986671448,-294870.447071,-55662.3129493,-3573.9294563,-55249.4964017,498.178726936,507.1605552,526.909832142
219.69487,805.3708,363.49515,800.3747,1497.07465655,61.9679642986,1071.34926368,3334.73341044,1071.34926368,3334.73341044,0.18823531,0.18823531,30.925865525,143.88704439,145.970815421,0.985724742133,0.0829999446869,3271.40062665,-1.98984555419,30.925865525,-221865.035524,-70966.9320602,-2573.78257365,-59641.8431101,3257.8346352,3268.7742522,3270.76822282
536.2552,761.40515,418.87265,781.1941,801.120473862,77.628205616,667.161147959,878.465086182,878.465086182,1449.20305151,0.19215688,0.19215688,96.4722201877,119.03892467,121.06900414,0.983232046182,0.138999938965,1477.54873494,170.430763296,96.4722201877,-50224.6108276,-39167.23767,-4749.27179405,-4749.27179405,1434.12454013,1438.3454219,1449.63009102
512.2885,732.4278,324.54926,785.3864,1850.65785655,24.7808393781,1754.41733998,3537.2431647,1754.41733998,24.7808393781,0.18431373,0.18431373,163.029012944,195.065721104,196.772794798,0.991324645787,0.0840001106262,886.339287842,164.246986928,163.029012944,-221432.211993,-126952.366435,-24776.7279444,-126952.366435,831.281134325,857.42240443,886.339287842
